,LSOA,Anti Semitic,Disability,Homophobic,Islamophobic,Racist,Transgender,Faith,Total All Incidents
1109,E01001136,True,False,False,False,False,True,False,False
1110,E01001137,True,False,False,False,False,False,False,False
1111,E01001138,False,False,False,False,False,False,False,False
1112,E01001139,False,False,False,False,False,False,False,False
1113,E01001140,False,False,False,False,False,False,False,False
1114,E01001141,False,False,False,False,False,False,False,False
1115,E01001142,False,False,False,False,False,False,False,False
1116,E01001143,False,False,False,False,False,False,False,False
1117,E01001144,False,False,False,False,False,False,False,False
1118,E01001145,False,False,False,False,False,False,False,False
1119,E01001146,False,False,False,False,False,False,False,False
1120,E01001147,True,False,False,False,False,False,False,False
1121,E01001148,False,False,False,False,False,False,True,False
1122,E01001149,False,False,False,False,False,False,False,False
1123,E01001150,False,False,False,False,False,False,False,False
1124,E01001151,True,False,False,False,False,False,False,False
1125,E01001152,False,False,False,False,False,False,False,False
1126,E01001153,False,False,False,False,False,False,False,False
1127,E01001154,False,False,False,False,False,True,False,False
1128,E01001155,False,False,False,False,False,True,False,False
1129,E01001156,False,False,False,False,False,False,False,False
1130,E01001157,False,False,False,False,False,False,False,False
1131,E01001158,False,False,False,False,False,False,False,False
1132,E01001159,False,False,False,False,False,False,False,False
1133,E01001160,False,False,False,False,False,True,False,False
1134,E01001161,False,False,False,False,False,True,False,False
1135,E01001162,True,False,False,False,False,False,False,False
1136,E01001163,False,False,False,False,False,False,False,False
1137,E01001164,False,False,False,False,False,False,False,False
1138,E01001165,False,False,False,False,False,False,False,False
1139,E01001166,False,False,False,False,False,False,False,False
1140,E01001167,False,False,False,False,False,False,False,False
1141,E01001168,False,False,False,False,False,False,False,False
1142,E01001169,False,False,False,False,False,False,False,False
1143,E01001170,False,False,False,False,False,False,False,False
1144,E01001171,False,False,False,False,False,False,False,False
1145,E01001172,False,False,False,False,False,False,False,False
1146,E01001173,False,False,False,False,False,False,False,False
1147,E01001174,False,False,False,False,False,False,False,False
1148,E01001175,False,False,False,False,False,False,False,False
1149,E01001176,True,False,False,False,False,False,False,False
1150,E01001177,True,False,False,False,False,True,False,False
1151,E01001178,False,False,False,False,False,False,False,False
1152,E01001179,False,False,False,False,False,False,False,False
1153,E01001180,False,False,False,False,False,False,False,False
1154,E01001181,False,False,False,True,False,False,True,False
1155,E01001182,False,False,False,False,False,False,False,False
1156,E01001183,False,False,False,False,False,False,True,False
1157,E01001184,False,False,False,False,False,False,True,False
1158,E01001185,False,False,False,False,False,True,False,False
1159,E01001186,False,False,False,False,False,False,False,False
1160,E01001187,False,False,False,False,False,False,False,False
1161,E01001188,False,False,False,False,False,False,False,False
1162,E01001189,False,False,False,False,False,False,False,False
1163,E01001190,False,False,False,False,False,False,False,False
1164,E01001191,True,False,False,False,False,False,False,False
1165,E01001192,False,False,False,False,False,False,False,False
1166,E01001193,False,False,False,False,False,False,False,False
1167,E01001194,False,False,False,False,False,False,False,False
1168,E01001195,False,False,False,False,False,False,True,False
1169,E01001196,False,False,False,False,False,False,False,False
1170,E01001197,False,False,False,False,False,False,False,False
1171,E01001198,False,False,False,False,False,False,True,False
1172,E01001199,False,False,False,False,False,False,False,False
1173,E01001200,False,False,False,False,False,False,False,False
1174,E01001201,False,False,False,False,False,False,False,False
1175,E01001202,False,False,False,False,False,False,False,False
1176,E01001203,False,False,False,False,False,False,False,False
1177,E01001204,False,False,False,False,False,False,False,False
1178,E01001205,False,False,False,False,False,False,False,False
1179,E01001206,False,False,False,False,False,False,False,False
1180,E01001207,True,False,False,False,False,False,False,False
1181,E01001208,True,False,False,False,False,False,False,False
1182,E01001209,False,False,False,False,False,False,False,False
1183,E01001210,False,False,False,False,False,False,False,False
1184,E01001211,False,False,False,True,False,False,True,False
1185,E01001212,False,False,False,False,False,False,False,False
1186,E01001213,False,False,False,False,False,False,False,False
1187,E01001214,False,False,False,False,False,False,False,False
1188,E01001215,False,False,False,False,False,True,True,False
1189,E01001216,False,False,False,False,False,False,False,False
1190,E01001217,False,False,False,False,False,False,False,False
1191,E01001218,False,False,False,False,False,False,False,False
1192,E01001219,False,False,False,False,False,False,False,False
1193,E01001220,False,False,False,False,False,False,False,False
1194,E01001221,True,False,False,True,False,True,False,True
1195,E01001222,True,False,False,False,False,True,False,False
1196,E01001223,False,False,False,False,False,False,False,False
1197,E01001224,False,False,False,False,False,False,False,False
1198,E01001225,False,False,False,False,False,True,False,False
1199,E01001226,False,False,False,False,False,False,False,False
1200,E01001227,False,False,False,False,False,False,False,False
1201,E01001228,False,False,False,False,False,False,False,False
1202,E01001229,True,False,False,False,False,False,False,False
1203,E01001230,False,False,False,False,False,True,False,False
1204,E01001231,False,False,False,False,False,False,False,False
1205,E01001232,False,False,False,False,False,False,False,False
1206,E01001233,False,False,False,False,False,True,True,False
1207,E01001234,False,False,False,False,False,True,False,False
1208,E01001235,True,False,False,False,False,False,False,False
1209,E01001236,True,False,False,False,False,False,False,False
1210,E01001237,False,False,False,False,False,False,False,False
1211,E01001238,False,False,False,False,False,False,False,False
1212,E01001239,False,False,False,False,False,False,False,False
1213,E01001240,False,False,False,False,False,False,False,False
1214,E01001241,False,False,False,False,False,False,False,False
1215,E01001242,True,False,False,False,False,False,False,False
1216,E01001243,False,False,False,False,False,False,True,False
1217,E01001244,False,False,False,False,False,False,False,False
1218,E01001245,True,False,False,False,False,False,False,False
1219,E01001246,True,False,False,False,False,False,False,False
1220,E01001247,True,False,False,False,False,False,False,False
1221,E01001248,False,False,False,False,False,False,False,False
1222,E01001249,False,False,False,True,False,True,True,False
1223,E01001250,False,False,False,False,False,True,False,False
1224,E01001251,False,False,False,False,False,False,False,False
1225,E01001252,False,False,False,False,False,False,False,False
1226,E01001253,False,False,False,False,False,False,False,False
1227,E01001254,False,False,False,False,False,False,False,False
1228,E01001255,False,False,False,False,False,True,False,False
1229,E01001257,False,False,False,False,False,False,False,False
1230,E01001258,False,False,False,False,False,False,False,False
1231,E01001259,False,False,False,False,False,False,False,False
1232,E01001260,False,False,False,False,False,False,False,False
1233,E01001261,True,False,False,False,False,False,False,False
1234,E01001262,False,False,False,False,False,False,False,False
1235,E01001263,False,False,False,False,False,False,False,False
1236,E01001264,False,False,False,False,False,False,False,False
1237,E01001265,False,False,False,False,False,False,False,False
1238,E01001266,False,False,False,False,False,False,False,False
1239,E01001267,False,False,False,False,False,False,False,False
1240,E01001268,False,False,False,False,False,False,False,False
1241,E01001269,False,False,False,False,False,False,False,False
1242,E01001270,False,False,False,False,False,True,False,False
